76852,,2024-01-02T14:16:06.9086921Z,0.06,87914321
76853,,2024-01-02T14:16:06.9086921Z,0.05,87914322
76854,,2024-01-02T14:16:06.9086921Z,0.05,87914323
76855,,2024-01-02T14:16:06.9086921Z,0.06,87914324
76856,,2024-01-02T14:16:06.9086921Z,0.05,87914325
76857,,2024-01-02T14:16:06.9086921Z,0.05,87914326
76858,,2024-01-02T14:16:06.9086921Z,0.05,87914327
76859,,2024-01-02T14:16:06.9086921Z,0.05,87914328
76860,,2024-01-02T14:16:06.9086921Z,0.04,87914329
76861,,2024-01-02T14:16:06.9086921Z,0.04,87914330
76862,,2024-01-02T14:16:06.9086921Z,0.05,87914331
76863,,2024-01-02T14:16:06.9086921Z,0.06,87914332
76864,,2024-01-02T14:16:06.9086921Z,0.04,87914333
76865,,2024-01-02T14:16:06.9086921Z,0.05,87914334
76866,,2024-01-02T14:16:06.9086921Z,0.04,87914335
76867,,2024-01-02T14:16:06.9086921Z,0.04,87914336
76868,,2024-01-02T14:16:06.9086921Z,0.04,87914337
76869,,2024-01-02T14:16:06.9086921Z,0.04,87914338
76870,,2024-01-02T14:16:06.9086921Z,0.06,87914339
76871,,2024-01-02T14:16:06.9086921Z,0.06,87914340
76872,,2024-01-02T14:16:06.9086921Z,0.06,87914341
76873,,2024-01-02T14:16:06.9086921Z,0.06,87914342
76874,,2024-01-02T14:16:06.9086921Z,0.06,87914343
